ITEM,EFFECTS,DURATION,ADDICTIVE?,WEIGHT,COST,RARITY,ADDICTION,USE
Addictol,Removes all addictions,Instant,0,<1,125,3,-,-
Antibiotics,Cures all illnesses,Instant,0,<1,75,3,-,-
Berry Mentats,Reduce the difficulty of INT tests by '2 (minimum '0),Lasting,2,<1,60,3,"Mentat Addiction: A failed addiction roll renders you addicted to Mentats. You increase the difficulty of all CHA tests by +1 whenever you are not under the effects of a type of Mentat (ordinary Mentats, or the Berry, Grape, or Orange versions)",-
Buffjet,"Reduce the difficulty of all STR and END tests by '1 (minimum '0). '+4 Max HP, Gain '3 AP immediately (lost if not spent), Extra actions cost '1 less AP",Brief,1,<1,75,4,"Buffout Addiction: A failed addiction roll renders you addicted to Buffout. You increase the difficulty of all STR and END tests by +1 whenever you are not under the effects of a type of Buffout (Buffout, Buffjet, or Bufftats).",-
Buffout,"Re-roll 1d20 on all STR and END tests, '+3 Max HP",Lasting,2,<1,45,2,"Buffout Addiction: A failed addiction roll renders you addicted to Buffout. You increase the difficulty of all STR and END tests by +1 whenever you are not under the effects of a type of Buffout (Buffout, Buffjet, or Bufftats).",-
Bufftats,"Reduce the difficulty of all STR, PER, and END tests by '1 (minimum '0), '+4 Max HP",Lasting,1,<1,75,4,"Buffout Addiction: A failed addiction roll renders you addicted to Buffout. You increase the difficulty of all STR and END tests by +1 whenever you are not under the effects of a type of Buffout (Buffout, Buffjet, or Bufftats).",-
Calmex,"Re-roll 1d20 on all PER and AGI tests, '+2CD to sneak attack damage",Lasting,1,<1,100,4,Calmex Addiction: A failed addiction roll renders you addicted to Calmex. You suffer complications on AGI tests on all rolls of 18 or higher whenever you are not under the effects of Calmex.,-
Daddy-O,"Reduce the difficulty of all PER and INT tests by '1 (minimum '0), '+1 difficulty to CHA tests",Lasting,1,<1,50,2,Daddy-O Addiction: A failed addiction roll renders you addicted to Daddy-O. You increase the difficulty of all PER and INT tests by +1 whenever you are not under the effects of Daddy-O.,-
Day Tripper,"Reduce the difficulty of CHA and LCK tests by '1 (minimum '0), '+1 difficulty to STR tests",Lasting,1,<1,40,3,Day Tripper Addiction: A failed addiction roll renders you addicted to Day Tripper. You increase the difficulty of all CHA and LCK tests by +1 whenever you are not under the effects of Day Tripper.,-
Fury,"+3 Physical damage resistance. '+3CD to melee damage, '+2 difficulty to all PER tests",Lasting,1,<1,30,4,Fury Addiction: A failed addiction roll renders you addicted to Fury. You increase the difficulty of all STR and PER tests by +1 whenever you are not under the effects of Fury,-
Grape Mentats,"Reduce the difficulty of CHA tests by '2, to a minimum of '0, Re-roll 1d20 on Barter tests",Lasting,2,<1,60,3,"Mentat Addiction: A failed addiction roll renders you addicted to Mentats. You increase the difficulty of all CHA tests by +1 whenever you are not under the effects of a type of Mentat (ordinary Mentats, or the Berry, Grape, or Orange versions).",-
Healing Salve,Heals '2 HP (see description),Instant,0,<1,20,1,-,"Use: Healing salve can be used in one of two ways: it can be applied using the Take Chem minor action, healing 2 HP immediately, or it can be applied as part of a First Aid action, adding +2 to the number of HP healed overa"
Jet,Extra actions cost '1 less AP,Brief,2,<1,50,2,"Jet Addiction: A failed addiction roll renders you addicted to Jet. You increase the difficulty of all AGI tests by +1 whenever you are not under the effects of a type of Jet (Jet, or Jet Fuel; Ultra Jet has a different addiction effect)",-
Jet Fuel,Gain '1 free AP at the start of each turn,Lasting,1,<1,60,3,"Jet Addiction: A failed addiction roll renders you addicted to Jet. You increase the difficulty of all AGI tests by +1 whenever you are not under the effects of a type of Jet (Jet, or Jet Fuel; Ultra Jet has a different addiction effect)",-
Med-X,+3 Physical damage resistance,Lasting,2,<1,50,2,"Med-X Addiction: A failed addiction roll renders you addicted to Med-X. You increase the difficulty of all AGI tests by +1, and suffer +1CD additional damage from all physical attacks whenever you are not under the effects of Med-X.",-
Mentats,Re-roll 1d20 on PER and INT tests,Lasting,3,<1,50,2,"Mentat Addiction: A failed addiction roll renders you addicted to Mentats. You increase the difficulty of all CHA tests by +1 whenever you are not under the effects of a type of Mentat (ordinary Mentats, or the Berry, Grape, or Orange versions)",-
Orange Mentats,"Reduce the difficulty of PER tests by '2 (min. '0), Aim minor action lets you re-roll one additional d20",Lasting,2,<1,60,3,"Mentat Addiction: A failed addiction roll renders you addicted to Mentats. You increase the difficulty of all CHA tests by +1 whenever you are not under the effects of a type of Mentat (ordinary Mentats, or the Berry, Grape, or Orange versions)",-
Overdrive,"+3CD damage to all attacks, May re-roll up to '3CD per damage roll",Lasting,1,<1,55,3,Overdrive Addiction: A failed addiction roll renders you addicted to Overdrive. You increase the difficulty of all STR and AGI tests by +1 whenever you are not under the effects of Overdrive.,-
Psycho,"+2CD damage to all attacks, '+3 Physical damage resistance",Lasting,2,<1,50,2,"Psycho Addiction: A failed addiction roll renders you addicted to Psycho. You increase the difficulty of all STR tests by +1 and suffer +1CD damage from all physical attacks whenever you are not under the effects of a type of Psycho (ordinary Psycho, Psycho Jet, Psychobuff, or Psychotats).",-
Psycho Jet,"+2CD damage to all attacks, '+4 Physical damage resistance. Gain '4 AP immediately (lost if not spent)",Brief,1,<1,70,4,"Psycho Addiction: A failed addiction roll renders you addicted to Psycho. You increase the difficulty of all STR tests by +1 and suffer +1CD damage from all physical attacks whenever you are not under the effects of a type of Psycho (ordinary Psycho, Psycho Jet, Psychobuff, or Psychotats).",-
Psychobuff,"+2CD damage to all attacks, '+4 Max HP. Reduce difficulty of all STR and END tests by '1 (minimum '0)",Lasting,1,<1,70,4,"Psycho Addiction: A failed addiction roll renders you addicted to Psycho. You increase the difficulty of all STR tests by +1 and suffer +1CD damage from all physical attacks whenever you are not under the effects of a type of Psycho (ordinary Psycho, Psycho Jet, Psychobuff, or Psychotats).",-
Psychotats,"+2CD damage to all attacks, '+2 Physical damage resistance, Reduce difficulty of PER tests by '1 (min. '0)",Lasting,1,<1,70,4,"Psycho Addiction: A failed addiction roll renders you addicted to Psycho. You increase the difficulty of all STR tests by +1 and suffer +1CD damage from all physical attacks whenever you are not under the effects of a type of Psycho (ordinary Psycho, Psycho Jet, Psychobuff, or Psychotats).",-
Rad-X,+6 Radiation damage resistance,Lasting,0,<1,40,2,-,-
Rad-X (Diluted),+3 Radiation damage resistance,Lasting,0,<1,25,1,-,-
RadAway,Heals '4 Radiation damage (see description),Instant,0,<1,80,2,-,"Use: RadAway can be used in one of two ways: it can be applied using the Take Chem minor action, healing 4 Radiation damage immediately, or it can be applied as part of a First Aid action, healing 4 Radiation damage in addition to any other healing done (remove Radiation damage before applying other healing effects). Diluted RadAway works in the same way, but only heals 2 Radiation damage."
RadAway (Diluted),Heals '2 Radiation damage (see description),Instant,0,<1,50,1,-,"Use: RadAway can be used in one of two ways: it can be applied using the Take Chem minor action, healing 4 Radiation damage immediately, or it can be applied as part of a First Aid action, healing 4 Radiation damage in addition to any other healing done (remove Radiation damage before applying other healing effects). Diluted RadAway works in the same way, but only heals 2 Radiation damage."
Skeeto Spit,+2 Max HP,Lasting,0,<1,40,2,-,-
Stimpak,Heals '4 HP (see description),Instant,0,<1,50,2,-,"Use: A Stimpak can be used in one of two ways: it can be applied using the Take Chem minor action, healing 4 HP or treating an Injury immediately, or it can be applied as part of a First Aid action, healing 4 HP or treating an Injury in addition to any other healing done. Diluted Stimpaks work in the same way, but only heal 2 HP, though they can still treat Injuries as normal"
Stimpak (Diluted),Heals '2 HP (see description),Instant,0,<1,30,1,-,"Use: A Stimpak can be used in one of two ways: it can be applied using the Take Chem minor action, healing 4 HP or treating an Injury immediately, or it can be applied as part of a First Aid action, healing 4 HP or treating an Injury in addition to any other healing done. Diluted Stimpaks work in the same way, but only heal 2 HP, though they can still treat Injuries as normal"
Super Stimpak,Heals '8 HP (see description),Instant,0,<1,90,4,-,"Use: A super Stimpak can be used in one of two ways: it can be applied using the Take Chem minor action, healing 8 HP or treating up to two Injuries"
Stimpak Diffuser,Heals '4 HP to all within Close range,Instant,0,<1,200,5,-,"Use: When deployed, using the Interact minor action, it produces a cloud which immediately heals 4 HP on everyone (other than robots) within Close range. One super Stimpak is consumed every time the Stimpak diffuser is used."
Ultra jet,"Gain '6 AP immediately (lost if not spent), Extra actions cost '1 less AP",Brief,3,<1,67,2,"Ultra Jet Addiction: A failed addiction roll renders you addicted to Ultra Jet. You increase the difficulty of all AGI tests by +1, and you generate one fewer AP whenever you succeed at a skill test (minimum 0) whenever you are not under the effects of Ultra Jet. This addiction is permanent and cannot be cured by any known means",-
X-Cell,First d20 bought on all tests is free,Lasting,1,<1,60,4,X-Cell Addiction: A failed addiction roll renders you addicted to X-Cell. You increase the difficulty of all tests by +1 whenever you are not under the effects of X-Cell.,-
Robot Repair Kit,Heal '4HP to a Robot or Power Armor (see description),Instant,0,<1,48,2,-,"Use: A robot repair kit can be used in one of two ways: it can be applied using the Take Chem minor action, healing 4 HP or treating an Injury immediately, or it can be applied as part of a First Aid action, healing 4 HP or treating an Injury in addition to any other healing done. As with any repairs to a robot or Power Armor, this is done using the Repair skill rather than the Medicine skill, but the actions used are otherwise the same."
Stealth Boy,Invisibility (see description),Brief,0,1,100,3,-,"Use: A Stealth Boy is activated using the Interact minor action. Once active, the device functions for three full turns: your current turn, your next turn, and your turn after that, after which, it ceases to function and is junk. When activated, a Stealth Boy renders you and the equipment you are carrying nearly invisible. Enemies add +2 to the difficulty of all tests to spot you; they may still hear you or notice your presence in other ways if theyâ€™re looking hard enough. In addition, even if you have been detected, the invisibility increases your Defense by +2."