SKILL,ITEMS RECEIVED
Athletics,"Casual clothing, '1 Buffout"
Barter,2d20 additional caps
Big Guns,4 '+2CD shots of flamer fuel
Energy Weapons,Fusion cell containing '6 '+3CD shots
Explosives,2 Molotov cocktails or '2 baseball grenades
Lockpick,4 '+2CD bobby pins
Medicine,"1 first aid kit, '1 Stimpak"
Melee Weapons,Machete or baseball bat
Pilot,Broken car parts (equivalent to '5 common scrap)
Repair,Multi-Tool
Science,"Lab coat, '1 dose of Mentats"
Small Guns,6 '+3CD additional shots of ammunition of a type you already possess
Sneak,One dose of Calmex
Speech,"Formal hat, formal clothing"
Survival,"2 purified water, '1 iguana on a stick"
Throwing,4 '+2CD throwing knives or '2 '+1CD tomahawks
Unarmed,Knuckles